,Artist,Description,venue,Date,price,videos
0,Creations Free jazz/improv,"Creations Nights are an exploration of the possibilities of freely improvised music. Each month, an established group from London’s lively free improv scene is invited to perform a set, followed by an open session where musicians mix up in small groups to create new music on-the-spot.They may draw on many different influences from jazz, folk, classical, electronica and other genres, and explore a variety of familiar and unfamiliar sound-worlds. Always a engaging and original evening, with leading players from the scene popping in to make music!Tonight featuring Steve Beresford (piano) and Madhira De Saram (violin). ",THE BASEMENT BAR,Thu 22nd August 8:00pm,£ 8.00,"['https://www.youtube.com/embed/AeZL9qyzbk0', 'https://www.youtube.com/embed/jaFiwGZ_otI', 'https://www.youtube.com/embed/OTvla5E8IaM', 'https://www.youtube.com/embed/CYLYeQiZ6-4', 'https://www.youtube.com/embed/qiNbDXJhxjY', 'https://www.youtube.com/embed/jWN2VmiS-0w', 'https://www.youtube.com/embed/AeZL9qyzbk0', 'https://www.youtube.com/embed/jaFiwGZ_otI', 'https://www.youtube.com/embed/OTvla5E8IaM', 'https://www.youtube.com/embed/CYLYeQiZ6-4', 'https://www.youtube.com/embed/qiNbDXJhxjY', 'https://www.youtube.com/embed/jWN2VmiS-0w', 'https://www.youtube.com/embed/AeZL9qyzbk0', 'https://www.youtube.com/embed/jaFiwGZ_otI', 'https://www.youtube.com/embed/OTvla5E8IaM', 'https://www.youtube.com/embed/CYLYeQiZ6-4', 'https://www.youtube.com/embed/qiNbDXJhxjY', 'https://www.youtube.com/embed/jWN2VmiS-0w', 'https://www.youtube.com/embed/AeZL9qyzbk0', 'https://www.youtube.com/embed/jaFiwGZ_otI', 'https://www.youtube.com/embed/OTvla5E8IaM', 'https://www.youtube.com/embed/CYLYeQiZ6-4', 'https://www.youtube.com/embed/qiNbDXJhxjY', 'https://www.youtube.com/embed/jWN2VmiS-0w', 'https://www.youtube.com/embed/AeZL9qyzbk0', 'https://www.youtube.com/embed/jaFiwGZ_otI', 'https://www.youtube.com/embed/OTvla5E8IaM', 'https://www.youtube.com/embed/CYLYeQiZ6-4', 'https://www.youtube.com/embed/qiNbDXJhxjY', 'https://www.youtube.com/embed/jWN2VmiS-0w', 'https://www.youtube.com/embed/AeZL9qyzbk0', 'https://www.youtube.com/embed/jaFiwGZ_otI', 'https://www.youtube.com/embed/OTvla5E8IaM', 'https://www.youtube.com/embed/CYLYeQiZ6-4', 'https://www.youtube.com/embed/qiNbDXJhxjY', 'https://www.youtube.com/embed/jWN2VmiS-0w', 'https://www.youtube.com/embed/AeZL9qyzbk0', 'https://www.youtube.com/embed/jaFiwGZ_otI', 'https://www.youtube.com/embed/OTvla5E8IaM', 'https://www.youtube.com/embed/CYLYeQiZ6-4', 'https://www.youtube.com/embed/qiNbDXJhxjY', 'https://www.youtube.com/embed/jWN2VmiS-0w', 'https://www.youtube.com/embed/AeZL9qyzbk0', 'https://www.youtube.com/embed/jaFiwGZ_otI', 'https://www.youtube.com/embed/OTvla5E8IaM', 'https://www.youtube.com/embed/CYLYeQiZ6-4', 'https://www.youtube.com/embed/qiNbDXJhxjY', 'https://www.youtube.com/embed/jWN2VmiS-0w', 'https://www.youtube.com/embed/AeZL9qyzbk0', 'https://www.youtube.com/embed/jaFiwGZ_otI', 'https://www.youtube.com/embed/OTvla5E8IaM', 'https://www.youtube.com/embed/CYLYeQiZ6-4', 'https://www.youtube.com/embed/qiNbDXJhxjY', 'https://www.youtube.com/embed/jWN2VmiS-0w', 'https://www.youtube.com/embed/AeZL9qyzbk0', 'https://www.youtube.com/embed/jaFiwGZ_otI', 'https://www.youtube.com/embed/OTvla5E8IaM', 'https://www.youtube.com/embed/CYLYeQiZ6-4', 'https://www.youtube.com/embed/qiNbDXJhxjY', 'https://www.youtube.com/embed/jWN2VmiS-0w']"
1,Ösp + Valeria Pozzo,"ÖSP: Hailing from a valley in North of Iceland, Ösp’s music reflects the folk song of her native country blended with the bustling songwriting culture of London. In her music, Ösp caries with her a fine Icelandic tradition of soaring melody lead songs of glacial beauty and real emotional power. Ösp’s debut album, Tales from a poplar tree, was released in 2017 and was nominated as the folk album of the year at the Icelandic Music Awards. Ösp will be joined on stage with her long time collaborators and friends, Helga Ragnarsdóttir and Valeria Pozzo.VALERIA POZZO: Valeria Pozzo is an Italian singer, songwriter and multi-instrumentalist who draws upon elements of jazz, pop and folk. With her songs Valeria Pozzo opens a window into herself and shares something very personal and real. Her deeply emotive, authentic and captivating voice is an emotive catalyst. It triggers thoughts, feelings and memories. Valeria will be joined by Joseph Costi on keys and Yusuf Ahmed on drums.  ",GREEN NOTE,Thu 22nd August 8:30pm,£ 10.00,"['https://www.youtube.com/embed/eJ89AdEltDc?feature=oembed', 'https://www.youtube.com/embed/vWUJjSy44is?feature=oembed', 'https://www.youtube.com/embed/_WNwFBtCiMw?feature=oembed', 'https://www.youtube.com/embed/eJ89AdEltDc?feature=oembed', 'https://www.youtube.com/embed/vWUJjSy44is?feature=oembed', 'https://www.youtube.com/embed/_WNwFBtCiMw?feature=oembed', 'https://www.youtube.com/embed/eJ89AdEltDc?feature=oembed', 'https://www.youtube.com/embed/vWUJjSy44is?feature=oembed', 'https://www.youtube.com/embed/_WNwFBtCiMw?feature=oembed', 'https://www.youtube.com/embed/eJ89AdEltDc?feature=oembed', 'https://www.youtube.com/embed/vWUJjSy44is?feature=oembed', 'https://www.youtube.com/embed/_WNwFBtCiMw?feature=oembed']"
2,Congo Faith Healers,"CONGO FAITH HEALERS: Are you ready for some down and dirty savage swamp infested gypsy blues!? The Congo Faith Healers are like nothing you have heard or experienced before! Combining down and dirty swamp infested gypsy blues with wild savage guitar playing, voodoo vocals, Latin American drum and trumpet grooves with rockabilly swing double bass and hooks that you will be singing for days, they have one of the most intense and utterly compelling live shows around!No wonder the Congo Faith Healers are in The Independent’s Top 10 Bands to see live in London!!!The band have previously worked with top industry producers Chris Kimsey (Rolling Stones, the Gypsy Kings,) and Grammy Award winner Cameron Craig (Tina Turner, Robbie Williams, Amy Winehouse), and have recently released their twelve track debut album “Ju Ju Mix”, which was recorded in just two days and has been blazing a trail across the land to unprecedented reviews.As diverse and unique as the bands image and members is also their gig history:The band have played the Edinburgh Moonwalk 2012 in front of 10000 people, performed in Trafalgar Square two years running for the West End Live Festival, have played at Battersea Powerstation, The Globe Theatre in London, The Secret Garden Party, and performed at the FX/HBO True Blood series Launch Party!They have supported and played with bands such as Razorlight, KT Tunstall (who called the band “The best band I have ever seen”, Supergrass, Mick Jones and have even been invited by Franz Ferdinand to play at one of their parties. Ronnie Wood, Bob Geldof, Roger Lloyd-Pack and Mark Lamarr are also fans of the band – Mark Lamarr featured them twice as special guests on his BBC Radio 2 Show Gods Jukebox!The CFH have recently completed a tour of Northern Cyprus and have floored audiences in Cannes, Qatar and Dubai at a Jack Daniels sponsored event.The CFH are that truly unique beast! A band that blend their collective influences to create something totally fresh and exhilarating. Word is being spread from packed show to packed show that the CFH are an unstoppable musical force.The Congo Faith Healers are:Guitar/Vocals – Sonny West
Double Bass – Steve New
Trumpet – Si “Lips” Taylor
Drums – Jay Tubsman",GREEN NOTE,Fri 23rd August 8:30pm,£ 12.00,"['https://www.youtube.com/v/bBaSC2CwlrA?hl=en_GB&version=3&rel=0', 'https://www.youtube.com/v/ITok_cduFBE?version=3&hl=en_GB&rel=0', 'https://www.youtube.com/v/bBaSC2CwlrA?hl=en_GB&version=3&rel=0', 'https://www.youtube.com/v/ITok_cduFBE?version=3&hl=en_GB&rel=0', 'https://www.youtube.com/v/bBaSC2CwlrA?hl=en_GB&version=3&rel=0', 'https://www.youtube.com/v/ITok_cduFBE?version=3&hl=en_GB&rel=0', 'https://www.youtube.com/v/bBaSC2CwlrA?hl=en_GB&version=3&rel=0', 'https://www.youtube.com/v/ITok_cduFBE?version=3&hl=en_GB&rel=0', 'https://www.youtube.com/v/bBaSC2CwlrA?hl=en_GB&version=3&rel=0', 'https://www.youtube.com/v/ITok_cduFBE?version=3&hl=en_GB&rel=0', 'https://www.youtube.com/v/bBaSC2CwlrA?hl=en_GB&version=3&rel=0', 'https://www.youtube.com/v/ITok_cduFBE?version=3&hl=en_GB&rel=0', 'https://www.youtube.com/v/bBaSC2CwlrA?hl=en_GB&version=3&rel=0', 'https://www.youtube.com/v/ITok_cduFBE?version=3&hl=en_GB&rel=0', 'https://www.youtube.com/v/bBaSC2CwlrA?hl=en_GB&version=3&rel=0', 'https://www.youtube.com/v/ITok_cduFBE?version=3&hl=en_GB&rel=0', 'https://www.youtube.com/v/bBaSC2CwlrA?hl=en_GB&version=3&rel=0', 'https://www.youtube.com/v/ITok_cduFBE?version=3&hl=en_GB&rel=0', 'https://www.youtube.com/v/bBaSC2CwlrA?hl=en_GB&version=3&rel=0', 'https://www.youtube.com/v/ITok_cduFBE?version=3&hl=en_GB&rel=0', 'https://www.youtube.com/v/bBaSC2CwlrA?hl=en_GB&version=3&rel=0', 'https://www.youtube.com/v/ITok_cduFBE?version=3&hl=en_GB&rel=0']"
3,Jason Soffer,"Up and coming singer/songwriter, JASON SOFFER originally from London became a native of New York for a number of years now returned to his home town and the music circuit in London.  Here is another talented musician in London with a beautiful soulful voice crafting new songs sprinkled with a few covers in his set. The gig in the Basement Bar at the Green Note Aug 23rd will be his first gig in London for five years.He recently released a single “Nightingale” & Fear to Flames“  and five acoustic live-tracks recorded in a barn in NY, and released on various streams including Spotify and Apple Music.While living in New York & Boston he performed at a number of established venues such as “Rockwood Music Hall”, “Arlene’s Grocery” as well as “Club Passim” and the notorious “TT Bears” to name a few. He’ll be playing a combination of original songs as well as covers that I’ve picked up and incorporated into my live-set over the years such as: Otis Redding, Bob Marley, Van Morrison, Oasis, David Gray and many more! ",THE BASEMENT BAR,Fri 23rd August 9:00pm,Cancelled,"['https://www.youtube.com/embed/Bu4fyPr_JMI', 'https://www.youtube.com/embed/Bu4fyPr_JMI', 'https://www.youtube.com/embed/Bu4fyPr_JMI', 'https://www.youtube.com/embed/Bu4fyPr_JMI', 'https://www.youtube.com/embed/Bu4fyPr_JMI']"
4,Big Mama’s Door,"BIG MAMA’S DOOR: Regulars on the London blues scene, and fronted by the ballsy vocals of Fiona McElroy, Big Mama’s Door play an eclectic mix of swinging blues from the 20s-50s.“The audience was wowed by the sheer personality of Fiona as a performer, the artistry of the guitarist and the musical excellence of the rest of the band.” Blues in Britain“The crowd had no choice but to enjoy things enormously…” Blues in London“Excellent band…her smoky/laid-back voice does the risqué blues-with-soul stuff with a vengeance.” Blues in the South",THE BASEMENT BAR,Sat 24th August 8:00pm,£ 10.00,"['https://www.youtube.com/embed/im1YBACMPQM', 'https://www.youtube.com/embed/cGY_pMH769A', 'https://www.youtube.com/embed/im1YBACMPQM', 'https://www.youtube.com/embed/cGY_pMH769A', 'https://www.youtube.com/embed/im1YBACMPQM', 'https://www.youtube.com/embed/cGY_pMH769A', 'https://www.youtube.com/embed/im1YBACMPQM', 'https://www.youtube.com/embed/cGY_pMH769A', 'https://www.youtube.com/embed/im1YBACMPQM', 'https://www.youtube.com/embed/cGY_pMH769A', 'https://www.youtube.com/embed/im1YBACMPQM', 'https://www.youtube.com/embed/cGY_pMH769A']"
5,Mosi Conde & Kaira Kora Afrika,"MOSI CONDE: Recently featured live and interviewed on BBC Radio 3’s World on 3, Mosi Conde comes with heavyweight credentials. Born into one of West Africa’s core Griot families he began playing the many instruments he is master of from a very young age and has been touring professionally since he was 15, initially throughout Africa and then in Europe. Mory Kante, Diamond Fingers Diabate and Sona Diabate founder of Les Amazones de Guinée are his close relatives and his family members are much in demand as producers and players for the likes of Salif Keita, Alpha Blondy and Ami Koita.For tonight’s show Mosi Conde will play an extended solo set revealing new compositions and revisiting favourites which he will expand further with his superb band as well. The range of instruments Mosi Conde plays is astounding: He is well known for his mellifluous voice, creative and sparkling Kora and lightening force intuitive Djembe. To this solid foundation he adds Bolon Bata – a goatskin covered calabash which in his expert hands more than equals major double bass players, Donso Ngoni (round – bass), Kamelon Ngoni (the griot’s bass), Balafon (as vibrant as any Vibes or Xylophone), Guitar, Gongoma (large calabash thumb piano) and many many traditional percussion instruments. A living contemporary archive! The second set sees Mosi’s music further amplified by his group of brilliant fellow musicians. Mosi Conde live and direct promises an uplifting and amazing evening.
Essential …be sure to book your tickets early!",GREEN NOTE,Sat 24th August 8:30pm,£ 12.00,"['https://www.youtube.com/embed/mNpJMa0ToVc', 'https://www.youtube.com/embed/mNpJMa0ToVc', 'https://www.youtube.com/embed/mNpJMa0ToVc']"
6,Jimmy Lee,"Presented by… JIMMY LEE: Jimmy Lee was lucky enough to be a small part of the embryonic folk scene in London in the sixties and cut his teeth alongside legendary artists, McTell, Aungier, Campbell , Brimstone, Silvo et al., and was greatly influenced by the heroes of the that time in both English and American Folk styles …….Over the years Jimmy has developed a style of music that is ‘ packed ‘ with emotion, played with a rare simplicity that only those with a ‘ gifted ‘ voice and a passion for music can achieve…….With a blend of Traditional, Contemporary, Alternative and Original material, a wealth of experience and great sense of humour, Jimmy is a welcomed guest wherever he goes.",THE BASEMENT BAR,Sun 25th August 8:00pm,£ 8.00,"['https://www.youtube.com/embed/Pn4H2DKScY4', 'https://www.youtube.com/embed/Pn4H2DKScY4', 'https://www.youtube.com/embed/Pn4H2DKScY4']"
7,Geoff Muldaur,"GEOFF MULDAUR: Geoff Muldaur is one of the great voices and musical forces to emerge from the folk, blues and folk-rock scenes centered in Cambridge, MA and Woodstock, NY.
During the 1960’s and ’70’s, he made a series of highly influential recordings as a founding member of the Jim Kweskin Jug Band and Paul Butterfield’s Better Days, as well as collaborations with his then-wife Maria and many others such as Bonnie Raitt  and Jerry Garcia. He left the stage and recording world in the mid-1980’s for a working sabbatical but made a new name for himself composing scores for film and television. His definitive recording of “Brazil” provided the seed for – and was featured in – Terry Gilliam’s film of the same title.
Many of the biggest names on the scene are fans of the man. Bonnie Raitt says that he has always been one of her favourites and in a recent interview, Richard Thompson said: “There are only three great white blues singers and Geoff Muldaur is at least two of them.” Talking after a recent ‘live’ performance, John Sebastian said: “The Lovin’ Spoonful’s favourite singer went and got better,” while Loudon Wainwright III is on record as stating: “Geoff Muldaur was and is one of my musical heroes.”",GREEN NOTE,Sun 25th August 8:30pm,Cancelled,"['https://www.youtube.com/embed/C9odBtqpPus', 'https://www.youtube.com/embed/EDv7YLiKJ_M', 'https://www.youtube.com/embed/C9odBtqpPus', 'https://www.youtube.com/embed/EDv7YLiKJ_M', 'https://www.youtube.com/embed/C9odBtqpPus', 'https://www.youtube.com/embed/EDv7YLiKJ_M']"
8,Liam Ó Maonlaí,"Liam Ó Maonlaí is a singer and musician, best known as cofounder of Irish super-group, Hot House Flowers. He is a singer in a long line of singers. His mother and Grandfather played piano. His piano is a bechstein that his grandfather bought. James Joyce played said keyboard on a visit to Galway, Liam’s ancestral home. He plays the music of his ancestors along with the music of his coming of age. The piano acts as a brush that draws lines between the ancient and the present.",GREEN NOTE,Mon 26th August 8:30pm,£ 20.00,[]
9,Open-Mic hosted by Rob Thom,"Everyone welcome!Whether you’re coming along to play or just to chill out in a fun, friendly atmosphere, kick back and enjoy the music…If you’d like to perform at our open mic we’d love to see you, and we’re sure you’ll leave the night with new friends and contacts. Sign up is from 7pm, but queueing from 6.30pm for a slot is the norm, such is the popularity of the night, and the list is always packed within minutes.Doors open at 7PM and the music starts at 7.30PM. £2 door for non-performers (free entry for performers).",GREEN NOTE,Tue 27th August 8:30pm,£ 2.00,[]
